year,fn,url
2019,US_2019.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/US_2019.xlsx
2019,STATE_2019.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/STATE_2019.xlsx
2019,CBSA_2019.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/CBSA_2019.xlsx
2019,PHA_2019.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PHA_2019.xlsx
2019,PROJECT_2019.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PROJECT_2019.xlsx
2019,TRACT_AK_MN_2019.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/TRACT_AK_MN_2019.xlsx
2019,TRACT_MO_WY_2019.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/TRACT_MO_WY_2019.xlsx
2019,PLACE_2019.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PLACE_2019.xlsx
2019,COUNTY_2019.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/COUNTY_2019.xlsx
2019,CD_2019.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/CD_2019.xlsx
2019,Zipcode_2019.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/Zipcode_2019.xlsx
2018,US_2018.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/US_2018.xlsx
2018,STATE_2018.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/STATE_2018.xlsx
2018,CBSA_2018.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/CBSA_2018.xlsx
2018,PHA_2018.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PHA_2018.xlsx
2018,PROJECT_2018.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PROJECT_2018.xlsx
2018,TRACT_AK_MN_2018.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/TRACT_AK_MN_2018.xlsx
2018,TRACT_MO_WY_2018.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/TRACT_MO_WY_2018.xlsx
2018,PLACE_2018.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/PLACE_2018.xlsx
2018,COUNTY_2018.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/COUNTY_2018.xlsx
2018,CD_2018.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/CD_2018.xlsx
2018,Zipcode_2018.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/Zipcode_2018.xlsx
2017,US_2017.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/US_2017.xlsx
2017,STATE_2017.xlsx,https://www.huduser.gov/portal/datasets/pictures/files/STATE_2017.xlsx
